Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
2.384186E-05,-0.002674181,-0.04430481,0.002709302,0.02960822,-0.01219828,0.001932912,0.002694895,-5.130686E-05,0.001789388,-0.02795053,1.715681,-0.05650461,0,0.044468049889606
0.05988216,-0.01619665,-0.01948319,0.008107906,0.02926714,-0.01160774,0.00157571,-0.001092309,-0.0001299953,-0.0006370653,-0.02791429,1.715743,-0.05661374,0,0.0266019641762
0.06723738,-0.03932266,-0.04799889,-0.004375843,0.02911885,-0.01152894,0.001698312,-0.001239744,-0.0003758656,-0.0005497871,-0.02798295,1.715737,-0.05663985,0,0.062203807470474
0.09206343,-4.533923E-05,-0.007911259,-0.01314378,0.02918274,-0.01162799,0.00189165,-0.001502753,-0.0004974235,-0.0006256399,-0.02801871,1.715741,-0.05665264,0,0.015341090216693
0.1017966,-0.01495193,-0.0354714,0.02305265,0.02913135,-0.01163781,0.002027329,-0.001699177,-0.0007384178,-0.0004918234,-0.02805495,1.715716,-0.05665615,0,0.044868754502387
0.1126118,0.01384359,-0.07074475,-0.001192698,0.02917431,-0.01170966,0.002038527,-0.001661973,-0.0009980537,-0.0004133217,-0.02807879,1.715697,-0.0566572,0,0.072096369926686
0.1262026,-0.02523181,-0.05358165,0.01155396,0.02934396,-0.01177792,0.00199198,-0.001640648,-0.001408721,-0.0003429227,-0.02810287,1.715693,-0.0566467,0,0.060341789377666
0.1427341,-0.02844061,0.0009237193,-0.01883843,0.02951589,-0.01173475,0.001961659,-0.002086195,-0.001882466,-5.765926E-05,-0.02815604,1.715679,-0.05662191,0,0.034126351963978
0.1563139,-0.04149612,-0.03478213,0.01443451,0.02974628,-0.01184934,0.001949087,-0.002000739,-0.002162455,-0.0001836759,-0.0281775,1.715638,-0.0566408,0,0.056036415194272
0.1682172,-0.01771863,-0.0008077901,-0.009114479,0.02986929,-0.01184668,0.001933743,-0.002101058,-0.002299281,-0.0002436423,-0.02820921,1.7156,-0.05665582,0,0.01994182100799
0.1820006,0.03241163,0.007482093,-0.04515061,0.02990461,-0.01183998,0.001913048,-0.002075008,-0.002415678,-0.0001749672,-0.02823424,1.715572,-0.05665791,0,0.056080952071744
0.2041225,0.01981914,0.02557272,-0.0311492,0.02994824,-0.01188296,0.001909514,-0.001878224,-0.001903165,-0.0002736343,-0.02825761,1.715635,-0.05663842,0,0.044911414521082
0.2122436,-0.01703953,0.01478029,-0.000494467,0.03002298,-0.0118478,0.001915186,-0.00195404,-0.001540903,-0.000327582,-0.02828932,1.715642,-0.05663991,0,0.022562066117081
0.2222185,0.01160652,0.0005396828,-0.0001696703,0.02992603,-0.01189896,0.001948637,-0.001729609,-0.00137169,-0.0004518825,-0.02829885,1.715625,-0.05665708,0,0.011620302900811
0.2361903,0.01569868,0.03820687,-0.008872638,0.02986432,-0.01181764,0.001929802,-0.001770798,-0.0006203504,-0.0005947615,-0.02832055,1.715643,-0.05668014,0,0.042248517723494
0.2525244,-0.01326057,0.07091548,0.009513317,0.02961155,-0.01182982,0.00206467,-0.001455025,0.0001538582,-0.0006344699,-0.02832365,1.715697,-0.05668887,0,0.072769159396409
0.265851,0.01524921,-0.0117037,0.01545623,0.02929364,-0.01173437,0.00216276,-0.001398375,0.0009759591,-0.0005943445,-0.0283432,1.715779,-0.05668581,0,0.024665969790425
0.2823663,-0.03319926,-0.05033284,-0.0003001294,0.02911644,-0.01177592,0.002236312,-0.00126059,0.001239637,-0.000923089,-0.02835369,1.715829,-0.05670908,0,0.060296561098475
0.2916479,-0.09469879,-0.02865169,-0.0002730526,0.02903268,-0.01173051,0.002257813,-0.001491161,0.001148247,-0.00114367,-0.0283823,1.715839,-0.05673721,0,0.098938637580888
0.3076587,-0.03080275,0.002487797,0.01352039,0.02881447,-0.01179396,0.002477195,-0.001762658,0.0008831233,-0.001295142,-0.02840757,1.715821,-0.05676496,0,0.033731283579334
0.3213425,0.01246355,0.01867224,-0.004129348,0.02871747,-0.01193548,0.002883854,-0.001460524,0.0008813816,-0.001266261,-0.02840924,1.715873,-0.05678022,0,0.022826390113841
0.3336945,0.01489196,0.03233395,-0.0009381979,0.02860755,-0.01195295,0.002912638,-0.001467264,0.00146856,-0.001142289,-0.02843809,1.715961,-0.05677983,0,0.03561087918376
0.3509688,0.02051153,0.02259526,-0.01782252,0.02853675,-0.0120568,0.002484571,-0.001374845,0.001791653,-0.001156162,-0.02845764,1.716045,-0.05679679,0,0.035339935919774
