Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
0.4142079,-0.0723737,0.01751456,0.03101586,-0.08350839,0.1165128,0.008141249,0.002407721,0.003034876,-0.005884228,0.6757042,1.610014,-0.2828701,-0.02384328,0.080664094827933
0.4246602,0.021828,0.06285544,0.001017738,-0.0834502,0.1167272,0.008114993,0.002431974,0.003297682,-0.005714516,0.6757627,1.610072,-0.2829617,0.08570118,0.066545506707254
0.4367046,-0.008467004,0.02388593,0.04280604,-0.08312248,0.1167605,0.008087657,0.00270738,0.003459297,-0.005314275,0.6757915,1.610101,-0.283017,0.05822497,0.049745199813999
0.4507027,0.01611079,0.01764645,0.03635073,-0.08284023,0.1166568,0.007993296,0.002633645,0.003784425,-0.004544348,0.6758182,1.610164,-0.2830145,0.07010797,0.043500919984611
0.4666495,-0.009027128,0.007303264,0.0456544,-0.08238907,0.1165333,0.00813558,0.002671916,0.00373944,-0.003625084,0.6758428,1.610216,-0.2829881,0.04393054,0.04710786969874
0.48034,0.009730481,-0.04430121,0.05316142,-0.08219688,0.1164126,0.00810743,0.002454012,0.003566783,-0.002987984,0.675864,1.610256,-0.2830095,0.01859068,0.06988144099523
0.4964304,-0.009663751,-0.0007696598,0.04038719,-0.08219988,0.1162406,0.008378182,0.002436086,0.003216195,-0.002337358,0.6758702,1.610295,-0.2830423,0.02995378,0.041534394835178
0.5066109,-0.01319045,-0.06750143,0.04529117,-0.08193264,0.1160296,0.008479342,0.002317441,0.00277865,-0.001980228,0.6758802,1.610289,-0.2830524,-0.0354007,0.082351205282036
0.5223918,-0.01337727,-0.05664229,0.04874169,-0.08201218,0.1158256,0.008564119,0.002209315,0.002174857,-0.001198241,0.6758981,1.610307,-0.2829976,-0.02127788,0.075914774037885
0.5360041,-0.07062846,-0.003650891,0.08513188,-0.08192237,0.1155186,0.008585279,0.00204481,0.001800799,-0.0002606451,0.6758988,1.610323,-0.2829237,0.01085252,0.110675856903479
0.5482912,0.01282519,-0.0106613,0.05906487,-0.08179399,0.1153901,0.008656846,0.001776375,0.001335121,0.0005416652,0.6759241,1.610314,-0.2828979,0.06122876,0.061374319703645
0.5623407,-0.02205247,-0.05118138,0.05975712,-0.08157843,0.1151346,0.008662531,0.001665963,0.001083382,0.001302442,0.6759307,1.610285,-0.2828508,-0.01347673,0.081711428797776
0.5811744,-0.04868729,0.002249964,0.05216154,-0.08177866,0.1149495,0.008808453,0.001177484,0.0008125419,0.002486608,0.675916,1.610324,-0.2827492,0.005724207,0.071388660858352
0.5917244,-0.04832951,-0.006381269,0.05685298,-0.08168182,0.114738,0.008985593,0.000538375,0.0007485105,0.003200594,0.6758893,1.610331,-0.2826459,0.002142203,0.07489141213516
0.603858,-0.05981029,-0.02354003,0.07630049,-0.08152928,0.114485,0.008849604,-4.106818E-05,0.0005768887,0.004133441,0.6758516,1.610315,-0.2825109,-0.007049825,0.099765572015702
0.6176391,-0.04320851,-0.04633655,0.04197882,-0.08127876,0.1143688,0.008706583,-0.0003630974,0.0002068861,0.004810265,0.6758294,1.610271,-0.2824155,-0.04756624,0.076001791509632
0.6342711,0.005070239,-0.06093739,0.02080305,-0.08137828,0.1144009,0.008423643,-0.0006402876,-0.0003856092,0.005223392,0.675823,1.61023,-0.2823421,-0.0350641,0.064589778565926
0.6473799,-0.0293282,-0.04698677,0.01300612,-0.08148968,0.1143375,0.008425619,-0.0009630304,-0.0007477349,0.005560981,0.6757839,1.610225,-0.2822312,-0.06330885,0.056895158518503
0.6632581,-0.01527935,0.0005013961,-0.0003612223,-0.08147837,0.1141996,0.008435884,-0.00154297,-0.001124035,0.005871047,0.6757209,1.6102,-0.2821051,-0.01513918,0.015291840427476
0.6732736,-0.01828827,0.03717819,-0.02019273,-0.0815176,0.1141447,0.008433572,-0.001886936,-0.0009429315,0.005845923,0.6756756,1.6102,-0.2820183,-0.001302803,0.046091480139166
0.689405,-0.02186771,0.02663632,-0.01005264,-0.08144602,0.1142338,0.008331079,-0.002025616,-0.000654916,0.005611958,0.6756351,1.610192,-0.2819688,-0.005284028,0.035899111366881
0.7029281,-0.006457837,0.1040164,-0.02337417,-0.08144238,0.1141977,0.008182943,-0.002175683,0.0003308847,0.005336415,0.6755931,1.610235,-0.2819217,0.07418439,0.106805737624639
0.7153058,0.01527401,0.0642055,0.01524902,-0.08104249,0.1142009,0.008167925,-0.002519805,0.001528651,0.005582841,0.6755233,1.610326,-0.2818246,0.09472854,0.067736062272563
0.7290554,-0.01664605,0.07253613,-0.02329305,-0.08030098,0.1141896,0.008013385,-0.002645476,0.002509728,0.0055984,0.6754661,1.610389,-0.2817324,0.03259703,0.077981707625732
0.7482786,0.001400448,0.2019059,-0.03083765,-0.0796314,0.1142725,0.008385955,-0.003025742,0.004869006,0.005246599,0.6754093,1.610592,-0.2816938,0.1724687,0.204252090833708
0.7587385,0.02574155,0.1734715,-0.0008438239,-0.07873266,0.1143911,0.008265944,-0.002740867,0.006639281,0.00524576,0.6753969,1.610734,-0.2816253,0.1983692,0.175373043579533
0.7712173,-0.03740537,0.09293179,0.03761043,-0.07732034,0.1142545,0.008569467,-0.002794216,0.008114431,0.005594459,0.6753273,1.610911,-0.2815279,0.09313685,0.107004786271217
0.7848511,-0.008012922,-0.06783506,0.01595933,-0.0761416,0.1143435,0.008753547,-0.002580037,0.009139003,0.005781892,0.6752968,1.611111,-0.2814201,-0.05988865,0.070146288919193
0.8007507,-0.048268,-0.06608096,-0.02137874,-0.07585344,0.1142745,0.009087477,-0.002630281,0.00856158,0.005523946,0.6752391,1.611274,-0.2813459,-0.1357277,0.084578621930631
0.8177013,0.03103102,0.03250203,-0.05169566,-0.0756805,0.1144299,0.009303253,-0.002544448,0.00800378,0.004933701,0.6752114,1.611362,-0.2813264,0.01183738,0.068496331851213
0.8317266,0.09000197,-0.05910759,-0.05889283,-0.07526972,0.114369,0.009200815,-0.00191967,0.007451548,0.004612345,0.6751926,1.611398,-0.2812818,-0.02799844,0.122729078210143
0.8404169,0.09350156,-0.01814001,-0.04376378,-0.07519971,0.1140675,0.009121923,-0.001072999,0.007076169,0.004235605,0.6751933,1.611492,-0.2812336,0.03159777,0.104818271648914
0.8564487,0.06124931,-0.06133579,0.01365037,-0.07443152,0.113716,0.00936982,-7.68326E-05,0.006266955,0.004596849,0.6752338,1.611502,-0.2811018,0.01356388,0.087749014129898
0.8700094,0.04558164,-0.1245821,-0.03190813,-0.07402603,0.1132966,0.009098937,0.001153201,0.005565315,0.004537569,0.6752968,1.611545,-0.2810042,-0.1109086,0.136442366875895
0.8822479,-0.05163288,-0.1782823,-0.03750207,-0.0745576,0.1129656,0.009251049,0.001462477,0.004446479,0.00355595,0.6753252,1.611608,-0.2810463,-0.2674173,0.189359286605978
0.8994017,-0.05675432,-0.06020346,-0.07876432,-0.07525795,0.1131962,0.009443218,0.0006728722,0.002779312,0.002819581,0.6753373,1.611587,-0.2810932,-0.1957221,0.114233654794747
0.9122419,0.001885392,-0.06058478,-0.01491902,-0.07515716,0.1134235,0.009348983,-1.794845E-05,0.001343695,0.002187008,0.6752632,1.611478,-0.2810664,-0.0736184,0.062423128662196
0.9258537,-0.01961198,-0.07680784,0.02996643,-0.07516979,0.1135936,0.009191315,-0.0004138857,0.000489585,0.00244303,0.6752276,1.611461,-0.2809969,-0.0664534,0.084747042794753
