Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.192093E-05,0.005915568,-0.06972523,0.007261782,0.002828784,0.05902359,-0.004542511,0.001660035,-0.0007656636,0.001759897,-0.0472424,1.656598,-0.2511086,0,0.070351511496349
0.05129194,0.01320565,0.06743187,0.03929874,0.005310163,0.0586933,-0.004024052,-0.0005454586,-0.003162368,0.002394827,-0.04723501,1.656036,-0.2508938,0,0.079157041554257
0.0575757,0.03235686,0.04961421,-0.02402756,0.005941582,0.05821849,-0.003704093,-0.0003417929,-0.002921151,0.002433955,-0.04723763,1.655881,-0.2507647,0,0.063920727027888
0.07808542,0.0288848,0.0099531,0.0111994,0.005837841,0.0582853,-0.003662762,-0.0002493603,-0.00176532,0.002583755,-0.04726124,1.655919,-0.2507185,0,0.032539554927994
0.09518003,0.01809941,0.06457403,-0.04267761,0.005955805,0.05820567,-0.003577818,-8.55744E-05,-0.001338149,0.002332319,-0.04727173,1.655946,-0.2507135,0,0.079490703404515
0.1042109,0.06074875,0.05896963,-0.04408675,0.006043314,0.05812789,-0.003357275,0.0002553415,-0.0008010992,0.002152315,-0.04724264,1.655967,-0.2506935,0,0.095454017112512
0.1175685,0.03778492,-0.01103911,-0.007085853,0.005864718,0.05810742,-0.003408064,0.0006484269,-0.0004525576,0.002081937,-0.04721165,1.655986,-0.250648,0,0.039997138608525
0.1332326,0.003340418,0.04192513,-0.01766546,0.005583139,0.0581199,-0.003728386,0.0006939607,-0.0001050878,0.002255941,-0.0471971,1.656012,-0.2505948,0,0.04561735673448
0.1466994,0.05804913,0.03322804,-0.05330187,0.005416679,0.05813841,-0.003906688,0.0007729313,0.0001918255,0.002169617,-0.04719567,1.656039,-0.250559,0,0.085527155171086
0.1595297,0.01499573,0.01162487,-0.01053754,0.005286266,0.05813963,-0.004020892,0.001170084,0.0004370447,0.002021543,-0.04717255,1.656064,-0.2505299,0,0.021703669166157
0.1727781,0.04123094,-0.00295087,-0.02832079,0.005247205,0.05835401,-0.004039351,0.001585945,0.0004086182,0.001784109,-0.04712725,1.656086,-0.2505273,0,0.050107537441191
0.1915917,0.008578461,-0.03290197,-0.01762324,0.005374633,0.05857468,-0.004063598,0.002183629,-1.978499E-05,0.001269769,-0.04705691,1.65609,-0.250557,0,0.038297629719567
0.2023621,-0.005774023,-0.03804756,0.001963458,0.005390326,0.0587375,-0.004107197,0.002417841,-0.0005301668,0.001064699,-0.04701471,1.656071,-0.250552,0,0.038533253019329
0.2143679,-0.02922731,-0.02549864,0.003822467,0.005516264,0.05889277,-0.004199364,0.002652255,-0.0008369589,0.0006977449,-0.04697776,1.656055,-0.2505457,0,0.03897470300931
0.2281542,-0.00243654,-0.08548582,0.01022231,0.005565057,0.05920412,-0.004430401,0.002589063,-0.001170021,0.0005760184,-0.0469687,1.656026,-0.250518,0,0.086129311326543
0.2442584,0.007395613,-0.02245392,-0.0265044,0.005915917,0.05930045,-0.00457596,0.002673743,-0.001629321,0.0001827181,-0.04690361,1.656012,-0.250554,0,0.035515581977318
0.257833,0.02124691,-0.00863539,-0.05824075,0.005951156,0.05931969,-0.004672882,0.002695093,-0.002066841,-0.0001551637,-0.04684639,1.655972,-0.2505811,0,0.062593818056761
0.2735748,-0.01932253,-0.04361816,0.008563234,0.005965325,0.05949038,-0.004794973,0.002271751,-0.002216587,-0.0004434004,-0.04685235,1.655927,-0.2505638,0,0.048468889625575
0.2839499,0.004342678,-0.006621182,-0.04161317,0.006077137,0.0593959,-0.005010121,0.001984753,-0.002370865,-0.0005849056,-0.04683328,1.6559,-0.2505755,0,0.042359824577958
0.2999315,-0.0177156,0.0001576429,-0.009566037,0.006088958,0.05945437,-0.005147845,0.001523533,-0.00238412,-0.0006636212,-0.04684448,1.655862,-0.2505636,0,0.020133960775999
0.3132224,-0.04186897,0.04168417,-0.03040304,0.006238995,0.05954949,-0.005186998,0.001040607,-0.001912822,-0.0009411048,-0.0468545,1.655871,-0.2505907,0,0.066444906359847
0.3255115,-0.03833226,-0.008018136,0.03261618,0.006165376,0.05959852,-0.005188718,0.0006950544,-0.001697059,-0.0009703124,-0.04686236,1.655866,-0.2506047,0,0.050965357526708
0.3423982,-0.0359672,0.04672451,-0.007008926,0.006080633,0.05961942,-0.005241502,0.0001344455,-0.001232066,-0.0009170963,-0.04688954,1.655877,-0.2506115,0,0.059379665845729
0.3554273,0.03004486,0.03529933,-0.05353067,0.00594587,0.05956419,-0.005073124,-0.0003850814,-0.0005878664,-0.001032464,-0.04692411,1.655905,-0.2506238,0,0.070811500770642
0.368711,-0.0005508494,0.02592571,-0.03723586,0.005836979,0.05952003,-0.004957845,-0.0008547445,-0.0002512127,-0.001052456,-0.04695225,1.655926,-0.2506458,0,0.04537571321624
0.3809867,-0.003982254,0.05163716,-0.03760642,0.005672954,0.05939852,-0.00474023,-0.001106003,-6.74767E-05,-0.001066546,-0.04696584,1.65595,-0.250678,0,0.064003883472455
0.3949361,-0.0405884,-0.02936015,0.004583186,0.005513472,0.0593111,-0.004512016,-0.001679244,0.0002465651,-0.001032477,-0.04700089,1.655986,-0.2507104,0,0.050303502545157
0.413641,-0.06382637,0.01943019,-0.000576932,0.005413038,0.05904694,-0.004287589,-0.002261081,0.0004641053,-0.001053604,-0.0470705,1.656029,-0.2507172,0,0.066720839689117
0.4243217,-0.02540537,-0.03909178,0.01302283,0.005229404,0.05881672,-0.004102771,-0.00268681,0.0006527825,-0.0009160335,-0.04712486,1.656041,-0.2507142,0,0.048406551464927
0.4365783,0.00589679,-0.0465918,-0.02156509,0.005165046,0.05857864,-0.004015519,-0.00298813,0.000476242,-0.0008540734,-0.04718614,1.65606,-0.2507299,0,0.051678048806926
0.450295,-0.01068645,-0.05171818,0.02708733,0.005099216,0.05848362,-0.003900324,-0.00317984,0.000397277,-0.0008024061,-0.04724669,1.656069,-0.2507425,0,0.059352286854003
0.4692841,0.01673399,-0.03936169,-0.01225567,0.005145118,0.05827825,-0.003788345,-0.003067549,0.0001664341,-0.0006340832,-0.04727626,1.656086,-0.2507592,0,0.044492368761952
0.4797597,-0.0226416,-0.03819009,0.02956698,0.005084402,0.05823384,-0.003726213,-0.003121393,-1.2442E-05,-0.0004667356,-0.04733706,1.656085,-0.2507406,0,0.05334164418611
0.4922504,0.0158548,-0.06652845,0.007427189,0.005102528,0.05810086,-0.003608705,-0.003049172,-0.0002641093,-0.0003582912,-0.04737353,1.656071,-0.2507296,0,0.06879369893113
0.5058599,0.01899312,-0.05546645,0.01862301,0.005208519,0.05808158,-0.003662316,-0.002809697,-0.0004844844,-0.0002625831,-0.04739666,1.656073,-0.2507263,0,0.061514890718217
0.5247369,0.04765683,-0.04863076,0.003674079,0.005331872,0.05801469,-0.003643197,-0.00217191,-0.001093631,-0.0002344515,-0.04736257,1.656035,-0.250738,0,0.068188139390353
0.535677,0.01592351,-0.05532175,0.006687794,0.005480323,0.05805726,-0.003712889,-0.002015209,-0.001304912,-0.0002422509,-0.04738069,1.656013,-0.2507326,0,0.057954988478969
0.5476971,0.01677224,-0.02247889,-0.008562732,0.005598759,0.05806474,-0.003679131,-0.001584404,-0.00186146,-0.0002230157,-0.04739046,1.65597,-0.2507108,0,0.029324546401921
0.5613713,-0.005133118,-0.02660041,0.009711683,0.005761868,0.05816059,-0.003831819,-0.001435754,-0.002028715,-0.0001707879,-0.04741096,1.655944,-0.2506869,0,0.028779285175375
0.5804324,0.01498629,-0.01061766,0.001649874,0.005911175,0.05833931,-0.003839111,-0.0007033818,-0.00234508,-0.0001985939,-0.04735041,1.655916,-0.2506924,0,0.01844032423257
0.5909128,0.04025537,0.02266062,0.004862086,0.005971919,0.05843724,-0.003942034,-0.0003556482,-0.002242699,-0.0001820856,-0.04732037,1.655899,-0.2506974,0,0.046450382837036
0.6032639,0.03186816,-0.003564466,0.005942938,0.005996779,0.05858824,-0.003924075,3.906076E-05,-0.002119957,-0.0001029596,-0.04729438,1.655892,-0.2506878,0,0.032612935243159
0.6168437,-0.01499507,0.004607264,0.009433188,0.00600165,0.05882622,-0.003902035,0.0001734384,-0.001820617,0.0001200296,-0.04729199,1.655904,-0.2506577,0,0.01830475615953
0.6357098,-0.03488261,0.02880944,0.04333482,0.005933073,0.05886308,-0.003907417,0.0004835335,-0.001412352,0.0002695268,-0.04727101,1.655924,-0.2506354,0,0.062647316707411
