Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.335144E-05,-0.06772908,-0.042223,0.08804677,0.09600326,0.01960308,-0.02881053,-0.002880645,0.00677467,-0.006871046,0.01583052,1.652294,-0.09199286,0,0.118837044508682
0.05540085,-0.01748879,-0.02353325,0.04168689,0.09514779,0.01900974,-0.03043222,-0.002009491,-0.002845401,0.004326782,0.01567245,1.652284,-0.09169006,0,0.050965363430599
0.06283188,-0.01958085,-0.06530482,0.05860893,0.095295,0.01893113,-0.03075753,-0.002071827,-0.002995308,0.004535843,0.01557636,1.65215,-0.09149063,0,0.0899062652117
0.078022,0.005927304,-0.04162341,0.03068193,0.09549373,0.0188686,-0.03073838,-0.002274652,-0.003296447,0.004950691,0.01553011,1.652098,-0.09141999,0,0.052048267549003
0.08745575,-0.01435024,-0.01376259,0.03495416,0.09557585,0.01889356,-0.03073892,-0.002580838,-0.003515025,0.005259975,0.01548004,1.652043,-0.09133917,0,0.040213572465092
0.09838867,-0.03294147,-0.003203565,0.01445449,0.09573289,0.0187749,-0.03062906,-0.002579155,-0.003483666,0.005291739,0.01546812,1.652023,-0.09126675,0,0.036115587901732
0.1123734,-0.02745495,0.005870671,0.001220462,0.09587133,0.01867395,-0.03050857,-0.002628755,-0.00326936,0.005166085,0.01545835,1.65202,-0.09120309,0,0.028102108167406
0.1288681,-0.01021479,0.01702723,0.0002653877,0.09584648,0.01864297,-0.0303578,-0.002677261,-0.002831643,0.005150488,0.01543546,1.652021,-0.09114391,0,0.019857972566212
0.1422596,-0.01145082,0.06473403,-0.007028465,0.09578697,0.01859356,-0.03028343,-0.002782601,-0.002003622,0.005131822,0.01539516,1.652035,-0.09108484,0,0.066113657692264
0.1583614,-0.02687103,0.01600391,0.05201454,0.0955864,0.01838602,-0.03024316,-0.002838379,-0.001170975,0.005179849,0.01535964,1.652065,-0.09101367,0,0.060693406297244
0.1679325,-0.01999447,0.07668595,0.009014494,0.09544477,0.01821044,-0.03027189,-0.003012733,-0.0007200395,0.005280616,0.01531625,1.652086,-0.09092748,0,0.079760735513247
0.1838303,-0.03933952,0.05629586,0.0737804,0.09500874,0.01786043,-0.03017379,-0.003018025,4.513655E-05,0.005711076,0.01528144,1.652122,-0.09081101,0,0.10079865448323
0.1974945,-0.005577364,-0.004229635,0.02432684,0.09463038,0.01745428,-0.03014848,-0.003259432,0.0007106917,0.006280048,0.01524615,1.652163,-0.09071946,0,0.02531386725616
0.2085819,0.03133933,-0.005836031,0.01375385,0.09438819,0.01701043,-0.03010917,-0.00311424,0.000832285,0.006587222,0.01521945,1.652194,-0.0906353,0,0.034718603621409
0.2221584,0.0218388,0.005552835,-0.0004914809,0.09432875,0.01662804,-0.03008364,-0.002970086,0.001165879,0.007004903,0.01519227,1.65225,-0.0905304,0,0.022539051509502
0.2417164,0.000528589,-0.0350769,-0.001806552,0.09415045,0.01650415,-0.03096429,-0.003111153,0.001317812,0.007299397,0.01513696,1.652314,-0.09040296,0,0.035127365122702
0.2518539,-0.01641293,0.002086632,-0.008456304,0.09434446,0.01632079,-0.0312223,-0.002821428,0.001135531,0.00700971,0.01511908,1.652348,-0.09032291,0,0.018580835709427
0.2639275,0.00707405,-0.01805099,-0.03042341,0.0944308,0.01614682,-0.03105915,-0.002502649,0.0009666841,0.006674073,0.01512384,1.652345,-0.09026259,0,0.036075810419713
0.277813,-0.02621627,7.339381E-05,-0.03903995,0.09449295,0.01596098,-0.03090124,-0.002191005,0.0009938602,0.006046898,0.01512623,1.652366,-0.09022409,0,0.047025696948697
