Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.525879E-05,-0.04464698,-0.04182126,0.01829886,0.02533338,0.1366268,0.01952079,-0.002062006,-0.006106432,0.009380249,0.6564531,1.615553,-0.2656866,0,0.063853107013964
0.06025219,0.03074908,0.09676069,-0.06760406,0.01928163,0.1377271,0.01847563,-0.002936958,-0.004482925,0.005705615,0.6558776,1.61485,-0.2643224,0,0.121977233978655
0.06745243,0.07779755,0.1109818,-0.09254068,0.0178799,0.1385972,0.01833224,-0.002828052,-0.003764951,0.005357981,0.6557276,1.61464,-0.2640143,0,0.16411335281516
0.08815384,0.02959016,0.1017977,-0.07129683,0.01794099,0.1386037,0.01850876,-0.002258019,-0.001697923,0.003920472,0.6557167,1.614739,-0.2640644,0,0.127755941073644
0.1061363,0.02622158,0.08214963,-0.07644469,0.0179909,0.1389477,0.01867999,-0.001761275,-0.0006416088,0.00300715,0.6557293,1.61478,-0.2640875,0,0.115238554982731
0.1140289,0.01330939,0.02278156,-0.06793544,0.01802733,0.1392444,0.01881886,-0.001643541,0.0001554718,0.002111161,0.6556938,1.614811,-0.2640676,0,0.072879106549125
0.1274538,0.06384056,0.0548221,-0.09012697,0.01782167,0.1395673,0.01891032,-0.001303999,0.0008944235,0.001205196,0.6556849,1.614869,-0.2640696,0,0.123304300796128
0.1442299,0.03334593,0.02302859,-0.04587721,0.01800852,0.139675,0.01905633,-0.000898479,0.001256245,0.000382128,0.6556787,1.614908,-0.2640871,0,0.061212624500483
0.1577215,0.03550082,0.0608292,-0.04369152,0.01814299,0.1397389,0.01898,-0.0004956787,0.001938957,-0.0002966179,0.6556945,1.614968,-0.264128,0,0.08288213712738
0.1694298,-0.004357025,-0.02921657,-0.01009994,0.01833652,0.1398443,0.01892848,1.515262E-05,0.002300552,-0.0008224632,0.6557178,1.615013,-0.264164,0,0.031218589282514
0.1825132,0.03033,-0.02130203,-0.04764945,0.01797548,0.1399788,0.01918651,0.0004257194,0.002314936,-0.001533163,0.6557367,1.615083,-0.2642167,0,0.060366842380213
0.2012854,0.02320192,0.02649116,-0.02169364,0.01767156,0.1397048,0.01940917,0.001264257,0.002067139,-0.002293864,0.6557732,1.615092,-0.264253,0.02799944,0.041360904707903
0.211566,0.04085899,0.00385385,-0.0290478,0.01757933,0.1396992,0.01931325,0.001813242,0.002081977,-0.002582556,0.6558573,1.615112,-0.2643076,0.01566504,0.050280055012306
0.224164,0.09451514,-0.005589991,0.004816061,0.0175637,0.1393535,0.01918397,0.002770042,0.002023928,-0.002588508,0.6559541,1.615147,-0.2643533,0.09374121,0.094802708997993
0.2374401,0.06333627,-0.05121247,0.04904982,0.01750805,0.1388788,0.01885287,0.003918916,0.001925352,-0.002419238,0.6560581,1.615163,-0.2643716,0.06117361,0.095079359414517
0.2535686,0.04313263,-0.01205171,0.04390728,0.01759962,0.1383989,0.01893357,0.004859777,0.002035772,-0.001860085,0.6561613,1.615214,-0.2643338,0.07498821,0.062717759245478
0.2671728,0.07088932,-0.01169528,0.02309495,0.01787389,0.1382368,0.0189986,0.005461153,0.002233748,-0.00123963,0.6562822,1.615265,-0.2643009,0.082289,0.07546822394896
0.283947,0.07179083,0.01325791,-0.00748126,0.01782263,0.1378961,0.01924564,0.005751174,0.002068276,-0.001105428,0.6563649,1.615318,-0.2643517,0.07756748,0.073387087536053
0.2930851,0.02621664,0.008782832,-0.01617391,0.01787753,0.1374903,0.01948738,0.006099501,0.002052243,-0.001149196,0.6564419,1.61534,-0.2643805,0.01882557,0.032031947513399
0.3093214,0.02279269,0.01684878,0.007733292,0.01794877,0.1369938,0.01962762,0.006241589,0.002037843,-0.001253344,0.656517,1.615363,-0.2644097,0.04737477,0.029380129790976
0.3227453,0.003934609,0.06262852,-0.0003138408,0.01823004,0.1365627,0.01976024,0.006449168,0.00247365,-0.00114484,0.656594,1.615408,-0.2643988,0.06624929,0.062752780613234
0.3405743,0.007806243,0.01829052,0.003862499,0.01883184,0.1359716,0.01970952,0.006614677,0.003209335,-0.0009250087,0.6566758,1.615477,-0.2643849,0.02995926,0.020258317984942
0.3488541,0.0139074,-0.003109178,-0.01051833,0.01906729,0.1355735,0.0197827,0.006616017,0.003352371,-0.0009985177,0.6567798,1.615533,-0.264414,0.0002798885,0.017712090554996
0.3652287,0.004001898,0.005849821,-0.007336615,0.0190891,0.1352252,0.01967666,0.006827301,0.003141609,-0.001158413,0.6568971,1.615575,-0.2644572,0.002515104,0.010201054778106
