Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.144409E-05,-0.02166911,-0.009027534,-0.01217783,-0.02832,0.1304755,0.01355078,-0.0001719054,0.002419156,-0.001064231,0.6616962,1.614322,-0.290738,0,0.026445158098168
0.05263376,0.006787982,-0.01182367,0.01405148,-0.02426674,0.1312186,0.0134172,-0.002121923,0.005742257,0.0009650573,0.6614349,1.61492,-0.2907732,0,0.019578560950206
0.0591588,-0.006774368,0.02856045,-0.008622055,-0.02232619,0.1315195,0.01356217,-0.001901043,0.005972077,0.0009109232,0.6613274,1.615291,-0.2907397,0,0.030592991212314
0.08360624,-0.004280789,-0.01361755,0.02301016,-0.02191592,0.1313589,0.01365851,-0.001716816,0.005583983,0.0009289928,0.6613288,1.615328,-0.2907334,0,0.027078228288606
0.09380627,0.01123555,0.04062413,-0.01117447,-0.02138646,0.1313813,0.013604,-0.001383164,0.005753845,0.001086092,0.6613333,1.615421,-0.2907065,0,0.043605343279948
0.1052208,0.03421894,0.0128957,-0.01562785,-0.02070817,0.1313727,0.01361971,-0.001222687,0.005966502,0.001228697,0.6613338,1.615514,-0.2906771,0,0.039767634634941
0.1192641,0.04991624,-0.0774223,-0.02274179,-0.02001056,0.1313747,0.01375766,-0.0008779936,0.00590655,0.0008481911,0.6613417,1.615588,-0.2906814,0,0.094884309811193
0.1358662,0.04840375,-0.07169732,-0.06000306,-0.02002698,0.1315108,0.01395073,-0.0004845844,0.005144559,7.986586E-06,0.6613801,1.615667,-0.2907478,0,0.105279616176771
0.1493359,0.04763185,-0.03489131,-0.0477615,-0.01991278,0.1314109,0.01406487,-0.0001695993,0.004671552,-0.0006927893,0.6613877,1.615716,-0.2907915,0,0.075943118188832
0.1613379,0.003045225,-0.04997701,-0.02440602,-0.0194151,0.1313239,0.01425849,5.454486E-05,0.004183005,-0.001187406,0.6613996,1.615749,-0.2908245,0,0.055701246949351
0.1750937,0.04142308,-0.02282247,-0.04907733,-0.0194025,0.1313434,0.01420574,0.0003929879,0.003879613,-0.001873732,0.6614451,1.615821,-0.2908972,0,0.068156593128791
0.1943641,0.03013905,-0.02603892,-0.04526978,-0.01922686,0.1314246,0.01415449,0.0007407354,0.00289894,-0.002589691,0.6614792,1.615805,-0.2909622,0,0.060297100539625
0.20472,0.005821061,0.005096673,-0.03064587,-0.01920101,0.1314779,0.01404542,0.0007672382,0.002703179,-0.002855479,0.6614954,1.615838,-0.2910169,0,0.031607434810559
0.2165508,-0.02961996,0.001773781,-0.02393184,-0.01875443,0.1314824,0.01430741,0.0008953105,0.00254315,-0.003091968,0.661495,1.615847,-0.2910585,0,0.038121137466628
0.2305331,-0.01340693,-0.01724202,0.01291218,-0.01830448,0.1315504,0.01430706,0.0006869456,0.002684115,-0.00303886,0.6615288,1.615876,-0.2911007,0,0.025372377040962
0.2465801,-0.02883768,-0.02255562,0.01097014,-0.01812095,0.1316765,0.01436059,0.000610468,0.002846408,-0.003204527,0.6615546,1.615949,-0.2911666,0,0.038219260567002
0.2607741,-0.01209586,-0.01752427,-0.002420224,-0.01801473,0.131867,0.01434619,0.0006992174,0.00281551,-0.003319942,0.6615779,1.615999,-0.2912205,0,0.021430526239135
0.2768617,-0.03947636,0.0365433,0.02028032,-0.01794389,0.1318558,0.01429123,0.0007235445,0.003000469,-0.003075974,0.6615825,1.616065,-0.2912502,0,0.057489891564194
0.2884402,-0.008311705,0.02614084,0.03159363,-0.01754066,0.1318844,0.01426596,0.0005617226,0.003238865,-0.00271687,0.661586,1.616118,-0.2912744,0,0.04184000079693
0.3022852,-0.02932751,0.0201524,0.06884853,-0.01704417,0.1319466,0.01439629,0.0003066035,0.003217418,-0.002021499,0.6615775,1.616174,-0.2912809,0.05967342,0.077500594187062
